标题,歌曲id,所属歌单
爱，很简单,150654,8482331201
黑暗骑士,25794008,8482331201
偏偏喜欢你,66476,8482331201
最熟悉的陌生人,307684,8482331201
流沙,150667,8482331201
新不了情,167912,8482331201
沙滩,150656,8482331201
不将就,31654343,8482331201
怎样,224000,8484467201
开到荼蘼,299640,8484467201
彼岸花,299594,8484467201
两心花,255701,8484467201
新房客,299589,8484467201
脸,299904,8484467201
不要让我后悔,1500377533,12712085640
決定不想你,2083885419,12712085640
才二十三,2619125556,12712085640
放輕鬆 (feat. EMMA LIU),1897356383,12712085640
千禧,2056232863,12712085640
疲惫的爱,1970514994,12712085640
只有我和你的地方,1970559924,12712085640
你在听吗,501437853,12712085640
闯空门,573731195,12712085640
Real World,1897351395,12712085640
铁血丹心,25638777,6845908342
问,4878605,6845908342
天地作合,31209367,6845908342
难得糊涂,28853352,6845908342
一生何求,64787,6845908342
至尊无上,153595,6845908342
天竺少女,261751,6845908342
星语心愿,330857,6845908342
雨一直下,190495,6845908342
谁的眼泪在飞,276721,6845908342
一吻天荒,391566,8497878200
梦想天空分外蓝,25638273,8497878200
想你的夜,88926,8497878200
忘记拥抱,10308019,8497878200
全城热爱,109908,8497878200
董小姐,25702068,8497878200
时间都去哪儿了,165026,8497878200
囍帖街,94512,8497878200
日不落,209643,9364024209
至少还有你,256468,9364024209
偏爱,86369,9364024209
阴天,276936,9364024209
天后,72394,9364024209
有形的翅膀,25640409,9364024209
倒带,4876202,9364024209
阴天快乐,28563317,9364024209
吻别,189983,9364024209
困在,297761,8113289667
那时有你,2657351170,8113289667
内疚,64126,8113289667
温柔,386538,8113289667
暗室之后,28524590,8113289667
昨晚我梦见我学会了游泳,1483250447,8113289667
忽然,1864737607,8113289667
小心翻阅,1817693741,8113289667
我多想变成她,1890449488,8113289667
云边的风筝,2600804126,13148244649
想念你想我,2646438117,13148244649
你也怀念吗,2143491586,13148244649
名字,2143283731,13148244649
再见爱人,2655113815,13148244649
纤维,2114419823,13148244649
如果爱忘了 (live),2124385868,13148244649
有一种悲伤 - From THE FIRST TAKE,2144828859,13148244649
散,25642123,8819423201
亲密爱人,25698047,8819423201
庆祝,468513150,8819423201
修炼爱情 (Jazz Version),1805639028,8819423201
伯爵茶,187282,8819423201
只喝香槟,1960672634,8819423201
夏天的晚风,2091903753,8819423201
晚霞,210782,8819423201
不想独自快乐(Jazz Version),25826096,8819423201
你的背包,224648,8819423201
一千年以后,108886,6845412669
可惜不是你,254191,6845412669
睫毛弯弯,1480380026,6845412669
人生海海,385990,6845412669
当你孤单你会想起谁(Mv Version),191750,6845412669
浮夸,66282,6845412669
Susan 说,150433,6845412669
再见,185726,6845412669
就是爱你,150430,6845412669
寂寞沙洲冷,189688,6845412669
爱的主打歌,307472,6845421558
咖啡,188261,6845421558
他一定很爱你,60263,6845421558
让我一次爱个够,28302514,6845421558
街角的祝福,223972,6845421558
龙的传人,25643359,6845421558
Melody,150563,6845421558
相爱很难,188278,6845421558
他和她的故事,307481,6845421558
Be My Friend,347220,12597740642
Daybreak,354985,12597740642
逝者何待追憶,1844504770,12597740642
什么事都叫我分心,382135,12597740642
赤空,32431653,12597740642
镜中镜,2013159938,12597740642
集体催眠,27598480,12597740642
起来,377287,12597740642
喔 我没有灵魂,487379302,12597740642
时速160公里的吉他、贝斯和鼓,384666,12597740642
路口,208970,7687888482
让浪漫作主,1868851806,7687888482
旧行李,208887,7687888482
思念,208927,7687888482
原点,287025,7687888482
善良的我们,2141610707,7687888482
如果你爱我,208942,7687888482
失忆症,209061,7687888482
生命之河,1417442423,7585780211
飞云之下,554242032,7585780211
可,1954420092,7585780211
国王与乞丐,32835565,7585780211
我们羞于表达的感情,1406257254,7585780211
世界上的另一个我,514765154,7585780211
岁岁平安,1421606142,7585780211
过,1804879213,7585780211
答案,28232019,7585780211
对等关系,1900998233,7585780211
蝴蝶山,2659584553,8892142201
情人,2117510474,8892142201
不介意,2003582433,8892142201
不完美,2046804689,8892142201
反正不能重来,2100613603,8892142201
让我一个人过,2092516683,8892142201
爱情的小船,2050436357,8892142201
TVB,2086554453,8892142201
异地念,2020913178,8892142201
没有人傻得像我,329883,6957236804
执迷不悔,300587,6957236804
一场游戏一场梦,157808,6957236804
明天我要嫁给你,187981,6957236804
季候风,300591,6957236804
爱如潮水,187338,6957236804
吻别,190449,6957236804
纤夫的爱,35440078,6957236804
风中有朵雨做的云,276711,6957236804
用心良苦,190778,6957236804
你要相信这不是最后一天,1425643256,9255553205
一切都来得及,2127444958,9255553205
